### word lemma
# a 
abilities ability
abstracted abstract
abstracting abstract
abused abuse
abuses abuse
abusing abuse
academies academy
accelerated accelerate
accepted accept
accepting accept
accepts accept
accessed access
accesses access
accessing access
accidents accident
accompanied accompany
accompanies accompany
accompanying accompany
accomplished accomplish
accomplishes accomplish
accomplishing accomplish
accorded accord
according accord
accounted account
accounts account
accumulated accumulate
accumulates accumulate
accusations accusation
achieved achieve
achievements achievement
achieves achieve
achieving achieve
acknowledging acknowledge
acknowledgments acknowledgment
acquired acquire
acquirers acquirer
acquires acquire
acquiring acquire
acquisitions acquisition
acting act
actions action
activated activate
activating activate
activations activation
activists activist
activities activity
actors actor
acts act
actualising actualize
adaptations adaptation
adapted adapt
adapting adapt
added add
adding add
addressed address
addresses address
addressing address
adds add
adherents adherent
adjectives adjective
adjudicated adjudicate
adjusted adjust
adjusting adjust
adjustments adjustment
adopted adopt
adopting adopt
adrenalin adrenaline
ads ad
adults adult
advanced advance
advancements advancement
advances advance
advancing advance
advantaged advantage
advantages advantage
adversaries adversary
adversarys adversary
advertisements advertisement
advertising advertise
advertized advertise
advertizing advertise
advises advise
affairs affair
affected affect
affecting affect
affects affect
affiliates affiliate
affiliations affiliation
affirming affirm
agencies agency
agencys agency
agendas agenda
agents agent
ages age
aggrandising aggrandize
aggregated aggregate
aggregating aggregate
agreed agree
agreements agreement
agrees agree
ai artificialintelligence
aided aid
aides aide
aiding aid
aids aid
aimed aim
aiming aim
aims aim
airs air
ais ai_
alarms alarm
alerted alert
alerting alert
alerts alert
algorithms algorithm
aligned align
aligning align
aligns align
alleged allege
allocated allocate
allocating allocate
allocations allocation
allowances allowance
allowed allow
allowing allow
allows allow
alt alternative
alterations alteration
altered alter
altering alter
alternatives alternative
alters alter
am be
amazing amaze
amended amend
americanised americanize
americans american
amounted amount
amounts amount
amplifying amplify
analyse analyze
analysed analyze
analyses analyze
analysing analyze
analysts analyst
analyzed analyze
analyzes analyze
analyzing analyze
anchored anchor
anchoring anchor
anchors anchor
angles angle
animals animal
annexes annex
annotated annotate
annotating annotate
announced announce
annoying annoy
anomalies anomaly
answered answer
answering answer
answers answer
anticipated anticipate
anticipating anticipate
appealed appeal
appealing appeal
appeals appeal
appeared appear
appearing appear
appears appear
applicants applicant
applications application
applied apply
applies apply
applying apply
appreciates appreciate
apprehensions apprehension
approached approach
approaches approach
approaching approach
approvals approval
approved approve
approving approve
approximates approximate
approximating approximate
approximations approximation
apps app
aptitudes aptitude
archetypes archetype
architectures architecture
archives archive
arcs arc
are be
areas area
argues argue
arises arise
arising arise
armed arm
