### word lemma
'hoods 'hood
0s 0
1000s 1000
100s 100
10s 10
11s 11
120s 120
12s 12
13s 13
144s 144
14s 14
15s 15
16s 16
17s 17
18s 18
19s 19
1s 1
20s 20
21s 21
22s 22
23s 23
24s 24
25s 25
26s 26
27s 27
28s 28
29s 29
2s 2
2ss 2
30s 30
3ds 3d
3dses 3d
3dss 3d
3dsssss 3d
3s 3
40s 40
4s 4
4ss 4
500s 500
50s 50
5s 5
5ses 5
5ss 5
60s 60
6s 6
70s 70
78s 78
7s 7
80s 80
8s 8
90s 90
9s 9
9ss 9
aaas aaa
aahed aah
aahing aah
aahs aah
aardvarks aardvark
aardwolves aardwolf
aarons aaron
aas aa
abandoned abandon
abandoning abandon
abandonments abandonment
abandons abandon
abas aba
abashed abash
abass aba
abated abate
abatements abatement
abates abate
abating abate
abattoirs abattoir
abayas abaya
abbes abbe
abbeys abbey
abbots abbot
abbreviated abbreviate
abbreviating abbreviate
abbreviations abbreviation
abbreviators abbreviator
abbs abb
abcs abc
abdicated abdicate
abdicates abdicate
abdicating abdicate
abdomens abdomen
abdominals abdominal
abducted abduct
abducting abduct
abductions abduction
abductors abductor
abducts abduct
abecedarians abecedarian
abeles abele
abels abel
aberdares aberdare
aberrations aberration
abetes abet
abets abet
abetted abet
abetting abet
abettors abettor
abhorred abhor
abhorring abhor
abhors abhor
abided abide
abides abide
abiding abide
abies aby
abilities ability
abjured abjure
abjuring abjure
abkhazians abkhazian
ablated ablate
ablutions ablution
abnormalities abnormality
abode abide
abodes abode
abolished abolish
abolishes abolish
abolishing abolish
abolitionists abolitionist
abominations abomination
aboriginals aboriginal
aborigines aborigine
aborted abort
abortifacients abortifacient
aborting abort
abortionists abortionist
abortions abortion
aborts abort
abos abo
abounded abound
abounding abound
abounds abound
abraded abrade
abrades abrade
abrading abrade
abrahams abraham
abrasions abrasion
abrasives abrasive
abridged abridge
abridgements abridgement
abridges abridge
abridging abridge
abridgments abridgment
abrogated abrogate
abrogating abrogate
abscesses abscess
absconded abscond
absconding abscond
absconds abscond
abseiled abseil
abseiling abseil
absences absence
absented absent
absentees absentee
absenting absent
absents absent
absolutes absolute
absolutists absolutist
absolved absolve
absolves absolve
absolving absolve
absorbed absorb
absorbers absorber
absorbing absorb
absorbs absorb
absorptions absorption
absorptivities absorptivity
abss abs
abstained abstain
abstainers abstainer
abstaining abstain
abstains abstain
abstentions abstention
abstracted abstract
abstracting abstract
abstractions abstraction
abstracts abstract
absurdities absurdity
abundances abundance
abused abuse
abusers abuser
abuses abuse
abusing abuse
abutments abutment
abuts abut
abutted abut
abutting abut
abysms abysm
abysses abyss
abyssinians abyssinian
academicians academician
academics academic
academies academy
acadians acadian
acari acarus
acceded accede
accedes accede
acceding accede
accelerated accelerate
accelerates accelerate
accelerating accelerate
accelerations acceleration
accelerators accelerator
accelerometers accelerometer
accented accent
accenting accent
accents accent
accentuated accentuate
accentuates accentuate
accentuating accentuate
accentuations accentuation
acceptances acceptance
accepted accept
accepting accept
acceptors acceptor
accepts accept
accessed access
accesses access
accessing access
accessioned accession
accessories accessory
accidentals accidental
accidents accident
acclaimed acclaim
acclaims acclaim
acclamations acclamation
acclimated acclimate
acclimates acclimate
acclimating acclimate
acclimatised acclimatise
acclimatising acclimatise
acclimatized acclimatize
acclimatizing acclimatize
accolades accolade
accommodated accommodate
accommodates accommodate
accommodating accommodate
accommodations accommodation
accompanied accompany
accompanies accompany
accompaniments accompaniment
accompanying accompany
accomplices accomplice
accomplished accomplish
accomplishes accomplish
accomplishing accomplish
accomplishments accomplishment
accorded accord
according accord
accordions accordion
accords accord
accosted accost
accosting accost
accosts accost
accountabilities accountability
accountants accountant
accounted account
accounts account
accoutered accouter
accouterments accouterment
accoutrements accoutrement
accreditations accreditation
accredited accredit
accrediting accredit
accredits accredit
accreted accrete
accretes accrete
accreting accrete
accretions accretion
accruals accrual
accrued accrue
accrues accrue
accruing accrue
accs acc
acculturated acculturate
accumulated accumulate
accumulates accumulate
accumulating accumulate
accumulations accumulation
accumulators accumulator
accuracies accuracy
accursed accurse
accusations accusation
accused accuse
accusers accuser
accuses accuse
accusing accuse
accustomed accustom
aced ace
aceing ace
acerbated acerbate
acers acer
aces ace
acess ace
acesss ace
acetylated acetylate
ached ache
achenes achene
aches ache
achess ache
achieved achieve
achievements achievement
achievers achiever
achieves achieve
achieving achieve
achilleas achillea
aching ache
acidifications acidification
acidified acidify
acidifies acidify
acidifying acidify
acids acid
acing ace
acknowledged acknowledge
acknowledgeding acknowledge
acknowledgements acknowledgement
acknowledges acknowledge
acknowledging acknowledge
acknowledgments acknowledgment
acnes acne
acolytes acolyte
acorns acorn
acousticians acoustician
acoustics acoustic
acquaintances acquaintance
acquaintanceships acquaintanceship
acquainted acquaint
acquainting acquaint
acquaints acquaint
acquiesced acquiesce
acquiesces acquiesce
acquiescing acquiesce
acquired acquire
acquirees acquire
acquirers acquirer
acquires acquire
acquiring acquire
acquisitions acquisition
acquited acquit
acquits acquit
acquittals acquittal
acquitted acquit
acquitting acquit
acreages acreage
acres acre
acrobats acrobat
acronyms acronym
acrostics acrostic
acrylamides acrylamide
acrylates acrylate
acrylics acrylic
acs ac
acted act
acting act
actinides actinide
actioned action
actions action
activated activate
activates activate
activating activate
activations activation
activators activator
actives active
activists activist
activities activity
actors actor
actresses actress
acts act
actualising actualize
actualities actuality
actualized actualize
actualizing actualize
actuaries actuary
actuated actuate
actuates actuate
actuating actuate
actuations actuation
actuators actuator
acuminated acuminate
adages adage
adams adam
adamses adams
adaptations adaptation
adapted adapt
adapters adapter
adapting adapt
adaptions adaption
adaptors adaptor
adapts adapt
adas ada
adass ada
added add
addendums addendum
adders adder
addes add
addicted addict
addicting addict
addictions addiction
addicts addict
adding add
additions addition
additives additive
addled addle
addressed address
addressees addressee
addresses address
addressing address
adds add
adduced adduce
adduces adduce
adducted adduct
adductors adductor
adenoids adenoid
adenoviruses adenovirus
adepts adept
ades ade
adhered adhere
adherents adherent
adheres adhere
adhering adhere
adhesions adhesion
adhesives adhesive
adhs adh
adieus adieu
adjacencies adjacency
adjectives adjective
adjoined adjoin
adjoining adjoin
adjoins adjoin
adjourned adjourn
adjourning adjourn
adjournments adjournment
adjourns adjourn
adjudged adjudge
adjudicated adjudicate
adjudicates adjudicate
adjudicating adjudicate
adjudications adjudication
adjudicators adjudicator
adjuncts adjunct
adjurations adjuration
adjusted adjust
adjusters adjuster
adjusting adjust
adjustments adjustment
adjustors adjustor
adjusts adjust
adjuvants adjuvant
admen adman
administered administer
administering administer
administers administer
administrated administrate
administrates administrate
administrating administrate
administrations administration
administrators administrator
admirals admiral
admired admire
admirers admirer
admires admire
admiring admire
admissions admission
admited admit
admits admit
admitted admit
admitting admit
admixtures admixture
admonished admonish
admonishes admonish
admonishing admonish
admonishments admonishment
admonitions admonition
adolescences adolescence
adolescents adolescent
adonises adonis
adopted adopt
adoptees adoptee
adopters adopter
adopting adopt
adoptions adoption
adopts adopt
adored adore
adores adore
adoring adore
adorned adorn
adorning adorn
adornments adornment
adorns adorn
adrenalin adrenaline
adrenals adrenal
adrians adrian
ads ad
adsorbed adsorb
adsorbents adsorbent
adsorbs adsorb
adulterants adulterant
adulterated adulterate
adulterating adulterate
adulterations adulteration
adulterers adulterer
adulteresses adulteress
adults adult
adumbrated adumbrate
adumbrating adumbrate
adumbrations adumbration
advanced advance
